S1_CurrentFeedback,Machining_Process,tool_condition,group,feedrate,clamp_pressure
17.6,Layer 1 Up,unworn,1,3,2.5
17.6,Layer 1 Up,unworn,1,3,2.5
17.1,Layer 1 Up,unworn,1,3,2.5
19.3,Layer 1 Up,unworn,1,3,2.5
20.8,Layer 1 Up,unworn,1,3,2.5
15.1,Layer 1 Up,unworn,1,3,2.5
20.5,Layer 1 Up,unworn,1,3,2.5
19.3,Layer 1 Up,unworn,1,3,2.5
19.7,Layer 1 Up,unworn,1,3,2.5
20.5,Layer 1 Up,unworn,1,3,2.5
25.5,Layer 1 Up,unworn,1,3,2.5
24.2,Layer 1 Up,unworn,1,3,2.5
23.7,Layer 1 Up,unworn,1,3,2.5
23.7,Layer 1 Up,unworn,1,3,2.5
13.0,Layer 1 Up,unworn,1,3,2.5
16.3,Layer 1 Up,unworn,1,3,2.5
25.5,Layer 1 Up,unworn,1,3,2.5
23.4,Layer 1 Up,unworn,1,3,2.5
18.6,Layer 1 Up,unworn,1,3,2.5
17.1,Layer 1 Up,unworn,1,3,2.5
25.5,Layer 1 Up,unworn,1,3,2.5
19.2,Layer 1 Up,unworn,1,3,2.5
17.8,Layer 1 Up,unworn,1,3,2.5
21.2,Layer 1 Up,unworn,1,3,2.5
19.2,Layer 1 Up,unworn,1,3,2.5
12.2,Layer 1 Up,unworn,1,3,2.5
26.6,Layer 1 Up,unworn,1,3,2.5
22.7,Layer 1 Up,unworn,1,3,2.5
19.2,Layer 1 Up,unworn,1,3,2.5
24.7,Layer 1 Up,unworn,1,3,2.5
17.9,Layer 1 Up,unworn,1,3,2.5
19.7,Layer 1 Up,unworn,1,3,2.5
25.1,Layer 1 Up,unworn,1,3,2.5
21.0,Layer 1 Up,unworn,1,3,2.5
25.3,Layer 1 Up,unworn,1,3,2.5
19.6,Layer 1 Up,unworn,1,3,2.5
15.5,Layer 1 Up,unworn,1,3,2.5
19.8,Layer 1 Up,unworn,1,3,2.5
14.3,Layer 1 Up,unworn,1,3,2.5
21.1,Layer 1 Up,unworn,1,3,2.5
16.3,Layer 1 Up,unworn,1,3,2.5
19.8,Layer 1 Up,unworn,1,3,2.5
19.2,Layer 1 Up,unworn,1,3,2.5
15.5,Layer 1 Up,unworn,1,3,2.5
17.7,Layer 1 Up,unworn,1,3,2.5
16.4,Layer 1 Up,unworn,1,3,2.5
23.7,Layer 1 Up,unworn,1,3,2.5
11.3,Layer 1 Up,unworn,1,3,2.5
27.3,Layer 1 Up,unworn,1,3,2.5
21.0,Layer 1 Up,unworn,1,3,2.5
15.4,Layer 1 Up,unworn,1,3,2.5
22.8,Layer 1 Up,unworn,1,3,2.5
15.1,Layer 1 Up,unworn,1,3,2.5
18.8,Layer 1 Up,unworn,1,3,2.5
20.3,Layer 1 Up,unworn,1,3,2.5
18.6,Layer 1 Up,unworn,1,3,2.5
15.7,Layer 1 Up,unworn,1,3,2.5
24.6,Layer 1 Up,unworn,1,3,2.5
23.6,Layer 1 Up,unworn,1,3,2.5
18.6,Layer 1 Up,unworn,1,3,2.5
21.9,Layer 1 Up,unworn,1,3,2.5
14.9,Layer 1 Up,unworn,1,3,2.5
20.3,Layer 1 Up,unworn,1,3,2.5
24.7,Layer 1 Up,unworn,1,3,2.5
18.1,Layer 1 Up,unworn,1,3,2.5
21.7,Layer 1 Up,unworn,1,3,2.5
19.1,Layer 1 Up,unworn,1,3,2.5
16.9,Layer 1 Up,unworn,1,3,2.5
23.3,Layer 1 Up,unworn,1,3,2.5
23.3,Layer 1 Up,unworn,1,3,2.5
21.6,Layer 1 Up,unworn,1,3,2.5
19.3,Layer 1 Up,unworn,1,3,2.5
15.7,Layer 1 Up,unworn,1,3,2.5
20.3,Layer 1 Up,unworn,1,3,2.5
20.9,Layer 1 Up,unworn,1,3,2.5
20.8,Layer 1 Up,unworn,1,3,2.5
13.7,Layer 1 Up,unworn,1,3,2.5
21.1,Layer 1 Up,unworn,1,3,2.5
20.4,Layer 1 Up,unworn,1,3,2.5
17.5,Layer 1 Up,unworn,1,3,2.5
24.4,Layer 1 Up,unworn,1,3,2.5
24.3,Layer 1 Up,unworn,1,3,2.5
18.8,Layer 1 Up,unworn,1,3,2.5
18.5,Layer 1 Up,unworn,1,3,2.5
19.1,Layer 1 Up,unworn,1,3,2.5
14.5,Layer 1 Up,unworn,1,3,2.5
19.6,Layer 1 Up,unworn,1,3,2.5
17.1,Layer 1 Up,unworn,1,3,2.5
15.9,Layer 1 Up,unworn,1,3,2.5
16.2,Layer 1 Up,unworn,1,3,2.5
18.2,Layer 1 Up,unworn,1,3,2.5
13.9,Layer 1 Up,unworn,1,3,2.5
17.2,Layer 1 Up,unworn,1,3,2.5
21.7,Layer 1 Up,unworn,1,3,2.5
17.1,Layer 1 Up,unworn,1,3,2.5
13.9,Layer 1 Up,unworn,1,3,2.5
25.1,Layer 1 Up,unworn,1,3,2.5
19.5,Layer 1 Up,unworn,1,3,2.5
20.4,Layer 1 Up,unworn,1,3,2.5
18.9,Layer 1 Up,unworn,1,3,2.5
18.3,Layer 1 Up,unworn,1,3,2.5
15.4,Layer 1 Up,unworn,1,3,2.5
19.2,Layer 1 Up,unworn,1,3,2.5
15.7,Layer 1 Up,unworn,1,3,2.5
14.6,Layer 1 Up,unworn,1,3,2.5
20.2,Layer 1 Up,unworn,1,3,2.5
19.2,Layer 1 Up,unworn,1,3,2.5
12.0,Layer 1 Up,unworn,1,3,2.5
11.6,Layer 1 Up,unworn,1,3,2.5
24.2,Layer 1 Up,unworn,1,3,2.5
22.1,Layer 1 Up,unworn,1,3,2.5
13.1,Layer 1 Up,unworn,1,3,2.5
25.1,Layer 1 Up,unworn,1,3,2.5
17.9,Layer 1 Up,unworn,1,3,2.5
19.2,Layer 1 Up,unworn,1,3,2.5
25.2,Layer 1 Up,unworn,1,3,2.5
16.8,Layer 1 Up,unworn,1,3,2.5
16.3,Layer 1 Up,unworn,1,3,2.5
23.8,Layer 1 Up,unworn,1,3,2.5
19.2,Layer 1 Up,unworn,1,3,2.5
18.2,Layer 1 Up,unworn,1,3,2.5
14.6,Layer 1 Up,unworn,1,3,2.5
24.5,Layer 1 Up,unworn,1,3,2.5
25.4,Layer 1 Up,unworn,1,3,2.5
21.2,Layer 1 Up,unworn,1,3,2.5
21.9,Layer 1 Up,unworn,1,3,2.5
19.9,Layer 1 Up,unworn,1,3,2.5
16.7,Layer 1 Up,unworn,1,3,2.5
